File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
c5e01acd-e391-4fb7-9fad-a0f043ce4da8	05388e1f-5b29-4c2c-91e7-e6d26c94b363.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-A4QM	TCGA-BR-A4QM-01A	Primary Tumor
facb37d5-7941-489c-9aa2-17288ed9a9d6	17c032b0-8c5f-4227-9a8b-cac59576ce8f.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-8591	TCGA-BR-8591-01A	Primary Tumor
ec4af4bb-2de5-4489-95bc-95dc8ae8df39	e01c2917-39de-4d7d-bcc2-710ee3f18555.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-8570	TCGA-D7-8570-01A	Primary Tumor
5b21baf7-ee3e-4469-b4cc-40b9340e3e9b	da183024-4c3d-41cf-8536-e2db382266c2.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-BR-7958	TCGA-BR-7958-01A	Primary Tumor
ce81a776-fb72-46ac-bce6-c9ea6144350a	adb9ca44-2f7d-4408-8897-0680cf338a18.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-5724	TCGA-CG-5724-01A	Primary Tumor
c423b6dd-3d96-4207-8fc7-14e43bf01ac8	c9755c9b-150d-472b-88ec-004a98a76344.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-HU-A4GC	TCGA-HU-A4GC-11A	Solid Tissue Normal
faab0257-cdba-4f3d-8672-ae4f80d89ad3	d33573e5-7836-4121-81d8-f9a452794bd7.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-D7-A4YY	TCGA-D7-A4YY-01A	Primary Tumor
6c6ec0ef-2532-4021-8c72-74f82fe5fdbb	f7922549-c348-4594-a229-af9cbe38ddc6.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-FP-8631	TCGA-FP-8631-01A	Primary Tumor
679a876c-3348-426f-8892-f5723d2b689f	e87beab5-8010-43eb-9208-b801c61d8af8.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-5734	TCGA-CG-5734-11A	Solid Tissue Normal
4ae5132b-ffba-449d-b81c-61ec321232f6	691e4c86-7ad9-40b7-9312-2d625472bf97.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-B7-A5TI	TCGA-B7-A5TI-01A	Primary Tumor
15524eaa-d117-4744-803f-95f87eaff5f6	8d22d0cc-64cc-4264-85c0-81d4902bf770.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-A8PE	TCGA-VQ-A8PE-01A	Primary Tumor
ff36547a-5887-46af-b0f5-99ea4c1baa96	b13b3f37-a06f-4484-81e3-c0d900d2f35c.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-CG-4476	TCGA-CG-4476-01A	Primary Tumor
a2b98c4c-6624-4771-9af8-3fe14069fb1a	c949214d-4c21-4049-99dd-96f768028d16.rna_seq.augmented_star_gene_counts.tsv	Transcriptome Profiling	Gene Expression Quantification	TCGA-STAD	TCGA-VQ-AA6I	TCGA-VQ-AA6I-01A	Primary Tumor
